indeks,nim,nama,prodi,ipk
53,1617257598,Joko Lestari,Sistem Informasi,2.98
54,1052956184,Ahmad Setiawan,Sistem Informasi,3.31
55,1410948406,Budi Wijaya,Teknik Informatika,3.69
56,1902545673,Oki Kusuma,Sains Data,3.89
57,1366792261,Fajar Hidayat,Teknik Informatika,2.96
58,1464022802,Intan Anggraini,Sains Data,3.52
59,1945698013,Tio Kusuma,Sistem Informasi,2.92
60,1669540043,Intan Pratama,Teknik Informatika,3.04
61,1685078571,Rizky Anggraini,Sistem Informasi,3.81
62,1156403368,Karin Ramadhan,Sains Data,3.33
63,1647002178,Ahmad Anggraini,Sains Data,3.3
64,1056440212,Zaki Permata,Teknik Informatika,2.81
65,1677304281,Dewi Anggraini,Teknik Informatika,3.34
66,1752892539,Rizky Maulana,Teknik Informatika,3.75
67,1274958225,Yuni Permata,Teknik Informatika,3.28
68,1437398923,Nanda Pratama,Sistem Informasi,3.61
69,1783689405,Tio Nugroho,Teknik Informatika,3.76
70,1454746149,Karin Setiawan,Sains Data,3.23
71,1036596845,Vina Saputra,Teknik Informatika,3.49
72,1997406846,Ahmad Pratama,Sistem Informasi,3.67
73,1231557108,Vina Anggraini,Teknik Informatika,3.34
74,1526468425,Citra Permata,Sistem Informasi,3.89
75,1296439813,Lukman Setiawan,Sistem Informasi,3.89
76,1296256706,Putri Kusuma,Teknik Informatika,3.46
77,1366676869,Wahyu Pratama,Sistem Informasi,3.66
78,1031934278,Lukman Hidayat,Sains Data,3.8
79,1828487319,Eka Lestari,Sains Data,3.59
80,1998370546,Yuni Kusuma,Sains Data,3.21
81,1636469366,Wahyu Permata,Sains Data,3.12
82,1419340814,Yuni Maulana,Sains Data,3.84
83,1471404490,Lukman Lestari,Sistem Informasi,3.28
84,1239396029,Oki Saputra,Sains Data,3.02
85,1690397285,Tio Lestari,Teknik Informatika,3.15
86,1190811216,Ahmad Wijaya,Teknik Informatika,3.18
87,1750214104,Lukman Hidayat,Sains Data,2.9
88,1590785490,Putri Ramadhan,Sistem Informasi,3.55
89,1490060265,Karin Ramadhan,Sains Data,3.37
90,1460786772,Oki Lestari,Sistem Informasi,3.16
91,1440463190,Citra Saputra,Sistem Informasi,2.89
92,1785553136,Nanda Maulana,Teknik Informatika,3.86
93,1635262183,Intan Setiawan,Teknik Informatika,3.68
94,1898660982,Fajar Kusuma,Sains Data,3.63
95,1931160790,Rizky Lestari,Sistem Informasi,3.25
96,1337750016,Yuni Saputra,Sistem Informasi,3.28
97,1464253165,Rizky Anggraini,Sistem Informasi,2.83
98,1350321230,Nanda Wijaya,Teknik Informatika,3.21
99,1758808009,Karin Setiawan,Sistem Informasi,3.42
100,1741038689,Citra Ramadhan,Teknik Informatika,3.05
101,1553333151,Rizky Lestari,Sistem Informasi,3.17
102,1961121170,Wahyu Permata,Sistem Informasi,3.62
103,1749566861,Citra Permata,Sistem Informasi,3.49
104,1753040326,Citra Setiawan,Sains Data,3.35
105,1457848634,Eka Pratama,Sistem Informasi,2.9
106,1837512445,Fajar Nugroho,Sistem Informasi,3.81
107,1376063353,Intan Maulana,Sains Data,3.86
108,1610693661,Zaki Saputra,Sistem Informasi,3.41
109,1631799906,Rizky Nugroho,Teknik Informatika,3.19
110,1129421081,Sari Maulana,Sains Data,2.82
111,1371318781,Oki Pratama,Sistem Informasi,3.19
112,1796772297,Gita Nugroho,Sains Data,3.84
113,1942359881,Intan Pratama,Sains Data,3.32
114,1397510145,Nanda Saputra,Teknik Informatika,3.69
115,1894333023,Dewi Maulana,Sains Data,3.16
116,1109487469,Ahmad Kusuma,Teknik Informatika,3.72
117,1575123047,Oki Saputra,Teknik Informatika,3.72
118,1456572035,Fajar Anggraini,Sains Data,2.88
119,1905595346,Lukman Kusuma,Sains Data,2.8
120,1737677305,Wahyu Wijaya,Sains Data,3.3
121,1668074201,Budi Nugroho,Sistem Informasi,3.36
122,1952713783,Dewi Nugroho,Sistem Informasi,3.78
123,1783944958,Nanda Saputra,Sistem Informasi,3.45
124,1853063646,Lukman Permata,Teknik Informatika,3.59
125,1964670645,Yuni Wijaya,Teknik Informatika,2.94
126,1670073356,Yuni Permata,Sistem Informasi,3.2
127,1755362174,Maya Hidayat,Teknik Informatika,3.07
128,1249294184,Zaki Permata,Teknik Informatika,3.69
129,1996752217,Zaki Anggraini,Teknik Informatika,3.67
130,1512170538,Sari Wijaya,Sains Data,3.77
131,1037444513,Citra Permata,Sistem Informasi,3.54
132,1387619490,Dewi Hidayat,Teknik Informatika,3.12
133,1192952019,Intan Wijaya,Sains Data,3.12
134,1551916768,Tio Pratama,Teknik Informatika,2.87
135,1972256085,Wahyu Kusuma,Sistem Informasi,3.05
136,1844614431,Zaki Nugroho,Sains Data,3.89
137,1337512141,Budi Kusuma,Sistem Informasi,3.75
138,1499897119,Oki Permata,Sistem Informasi,3.34
139,1034250258,Yuni Permata,Sistem Informasi,3.38
140,1848773451,Sari Kusuma,Teknik Informatika,3.21
141,1458661039,Sari Nugroho,Teknik Informatika,3.0
142,1550134465,Karin Setiawan,Sistem Informasi,2.96
143,1972385728,Lukman Nugroho,Sains Data,2.9
144,1438865269,Tio Setiawan,Teknik Informatika,3.59
145,1516681609,Dewi Lestari,Teknik Informatika,3.27
146,1442564877,Rizky Lestari,Sains Data,3.14
147,1653193377,Wahyu Maulana,Sistem Informasi,3.46
148,1125292227,Karin Permata,Sistem Informasi,3.41
149,1972558337,Eka Kusuma,Teknik Informatika,3.1
150,1734242596,Eka Saputra,Sains Data,3.61
151,1209221346,Eka Pratama,Sains Data,3.88
152,1168467220,Citra Anggraini,Sains Data,3.04
153,1780948908,Putri Wijaya,Sains Data,3.86
154,1980519295,Putri Wijaya,Sains Data,3.3
155,1111421775,Gita Wijaya,Sains Data,3.74
156,1885061132,Intan Ramadhan,Teknik Informatika,3.28
157,1235523264,Fajar Ramadhan,Sains Data,3.34
158,1873192621,Eka Permata,Sains Data,3.89
159,1379788765,Citra Hidayat,Sistem Informasi,3.37
160,1391892518,Oki Saputra,Sains Data,3.01
161,1505845404,Joko Maulana,Teknik Informatika,3.22
162,1875030990,Putri Pratama,Sistem Informasi,3.24
163,1779649389,Maya Saputra,Sains Data,3.86
164,1818193198,Ahmad Kusuma,Sistem Informasi,3.53
165,1558232971,Yuni Ramadhan,Sains Data,3.64
166,1802105707,Maya Permata,Teknik Informatika,3.38
167,1771929557,Karin Lestari,Sistem Informasi,3.76
168,1954255716,Sari Permata,Teknik Informatika,3.87
169,1967341374,Hendra Kusuma,Sains Data,2.94
170,1404453230,Oki Nugroho,Teknik Informatika,3.38
171,1803600856,Gita Permata,Teknik Informatika,3.75
172,1390991942,Vina Maulana,Teknik Informatika,3.22
173,1232463384,Putri Nugroho,Teknik Informatika,3.2
174,1452129541,Karin Lestari,Sistem Informasi,3.42
175,1259374774,Lukman Wijaya,Teknik Informatika,3.59
176,1495600896,Ahmad Ramadhan,Teknik Informatika,3.72
177,1270536664,Putri Pratama,Teknik Informatika,3.38
178,1407525649,Fajar Saputra,Teknik Informatika,3.37
179,1262370942,Zaki Lestari,Sistem Informasi,3.55
180,1868703500,Fajar Saputra,Sistem Informasi,3.73
181,1639989296,Tio Permata,Sistem Informasi,2.83
182,1098509395,Zaki Ramadhan,Teknik Informatika,3.12
183,1558653776,Citra Hidayat,Sains Data,3.87
184,1048379370,Intan Permata,Sistem Informasi,3.04
185,1531537220,Intan Wijaya,Sistem Informasi,3.58
186,1673103321,Fajar Ramadhan,Sistem Informasi,3.4
187,1510557804,Citra Maulana,Sains Data,3.79
188,1951313404,Nanda Kusuma,Sistem Informasi,3.66
189,1397464103,Vina Ramadhan,Sistem Informasi,3.27
190,1486536641,Maya Nugroho,Sistem Informasi,3.6
191,1697327391,Sari Wijaya,Sains Data,3.64
192,1079278087,Yuni Permata,Teknik Informatika,3.49
193,1267709445,Zaki Ramadhan,Sains Data,2.82
194,1978591261,Vina Pratama,Sains Data,3.88
195,1637940255,Tio Maulana,Sains Data,3.03
196,1346619429,Citra Saputra,Sains Data,2.94
197,1342444633,Zaki Saputra,Teknik Informatika,3.73
198,1661921159,Hendra Ramadhan,Sains Data,2.99
199,1640615372,Zaki Saputra,Sains Data,2.89
200,1813428565,Vina Ramadhan,Sains Data,2.91
